Admitted Connections:
Connection Id         Source    Destination                        Label List       Path Cost
            1             19              4                         0 1 2 3 4              20
            2              2             11                           5 6 7 8              22
            3              2             20                     9 10 11 12 13              18
            4             12              7                             14 15              11
            5             14             16                             16 17               9
            6             14             19                             18 19               7
            8             14              6                             20 21              12
           10             17             15                                22               8
           11             11             21                          23 24 25              13
           12              9              0                                26               5
           13             22             12                             27 28               6
           14             11             17                                29               7
           15             11             15                             30 31              12
           18             21             17                             32 33               6
           21              4              7                       34 35 36 37              21
           25             15             21                             38 39               8
           31              0             10                             40 41              12
           32              7             14                                42               8
           34             12             22                             43 44               6
           36             12             15                             45 46              11
           38              9             15                             47 48              13
           46             13             15                          49 50 51              15
           49             14              0                             52 53              10
           53             23             18                                54               1
           55              9             14                             55 56               9
           56             20             15                             57 58              13
           57              7             22                          59 60 61              16
           59             14             19                             62 63               7
           66             18              9                          64 65 66              20
           79             20             22                             67 68               8
           80             18             20                                69               6
           85             21             15                             70 71               8
           89             14             20                          72 73 74               9
           93             11             14                             75 76              12
           94              8              9                                77               9
           98             21             18                                78               1

Total Connections: 100
Admitted Connections: 36
Denied Connections: 64
Blocking Probability: 0.64

