Routing Table for All Nodes
Shotest Path Routing for Node 0:
Destination Node                         Path       Path Cost
               1                          0 1               2
               2                        0 1 2               8
               3                      0 1 2 3              15
               4                    0 1 2 3 4              18
               5                    0 8 7 6 5              17
               6                      0 8 7 6              14
               7                        0 8 7              10
               8                          0 8               4
               9                          0 9               5
              10                       0 9 10              12
              11                    0 8 12 11              12
              12                       0 8 12               6
              13                    0 8 12 13              10
              14                       0 8 14              10
              15                 0 8 12 17 15              17
              16                 0 8 12 17 16              12
              17                    0 8 12 17               9
              18                 0 8 12 17 18              14
              19                 0 8 12 13 19              15
              20              0 8 12 13 19 20              17
              21              0 8 12 17 18 21              15
              22                 0 8 12 17 22              12
              23                 0 8 12 17 23              14

Shotest Path Routing for Node 1:
Destination Node                         Path       Path Cost
               0                          1 0               2
               2                          1 2               6
               3                        1 2 3              13
               4                      1 2 3 4              16
               5                    1 2 3 4 5              17
               6                    1 0 8 7 6              16
               7                      1 0 8 7              12
               8                        1 0 8               6
               9                        1 0 9               7
              10                     1 0 9 10              14
              11                  1 0 8 12 11              14
              12                     1 0 8 12               8
              13                  1 0 8 12 13              12
              14                     1 0 8 14              12
              15               1 0 8 12 17 15              19
              16               1 0 8 12 17 16              14
              17                  1 0 8 12 17              11
              18               1 0 8 12 17 18              16
              19               1 0 8 12 13 19              17
              20            1 0 8 12 13 19 20              19
              21            1 0 8 12 17 18 21              17
              22               1 0 8 12 17 22              14
              23               1 0 8 12 17 23              16

Shotest Path Routing for Node 2:
Destination Node                         Path       Path Cost
               0                        2 1 0               8
               1                          2 1               6
               3                          2 3               7
               4                        2 3 4              10
               5                      2 3 4 5              11
               6                    2 3 4 5 6              14
               7                        2 8 7              11
               8                          2 8               5
               9                     2 8 12 9              10
              10                  2 8 12 9 10              17
              11                    2 8 12 11              13
              12                       2 8 12               7
              13                    2 8 12 13              11
              14                       2 8 14              11
              15                 2 8 12 17 15              18
              16                 2 8 12 17 16              13
              17                    2 8 12 17              10
              18                 2 8 12 17 18              15
              19                 2 8 12 13 19              16
              20              2 8 12 13 19 20              18
              21              2 8 12 17 18 21              16
              22                 2 8 12 17 22              13
              23                 2 8 12 17 23              15

Shotest Path Routing for Node 3:
Destination Node                         Path       Path Cost
               0                      3 2 1 0              15
               1                        3 2 1              13
               2                          3 2               7
               4                          3 4               3
               5                        3 4 5               4
               6                      3 4 5 6               7
               7                    3 4 5 6 7              11
               8                        3 2 8              12
               9                   3 2 8 12 9              17
              10                3 2 8 12 9 10              24
              11                  3 2 8 12 11              20
              12                     3 2 8 12              14
              13                 3 4 5 6 7 13              18
              14                     3 2 8 14              18
              15               3 2 8 12 17 15              25
              16               3 2 8 12 17 16              20
              17                  3 2 8 12 17              17
              18               3 2 8 12 17 18              22
              19              3 4 5 6 7 13 19              23
              20           3 4 5 6 7 13 19 20              25
              21            3 2 8 12 17 18 21              23
              22               3 2 8 12 17 22              20
              23               3 2 8 12 17 23              22

Shotest Path Routing for Node 4:
Destination Node                         Path       Path Cost
               0                  4 5 6 7 8 0              18
               1                      4 3 2 1              16
               2                        4 3 2              10
               3                          4 3               3
               5                          4 5               1
               6                        4 5 6               4
               7                      4 5 6 7               8
               8                    4 5 6 7 8              14
               9               4 5 6 7 8 12 9              19
              10            4 5 6 7 8 12 9 10              26
              11              4 5 6 7 8 12 11              22
              12                 4 5 6 7 8 12              16
