Forwarding table for Node 0:
Interface In       Label In       Interface Out      Label Out
           1             22                  -1             -1
          -1             -1                   3             23
           1             51                  -1             -1
           2             53                   3             54
          -1             -1                   3             56
           1             58                   3             59
           2             63                  -1             -1
           1             68                  -1             -1
          -1             -1                   3             70
           1             84                  -1             -1
          -1             -1                   2             96

Forwarding table for Node 1:
Interface In       Label In       Interface Out      Label Out
           7              6                   2              7
           2             16                   7             17
           7             21                   0             22
           7             39                   2             40
          -1             -1                   7             47
           2             50                  -1             -1
          -1             -1                   0             51
          -1             -1                   0             58
           2             65                  -1             -1
           7             67                   0             68
          -1             -1                   2             77
           7             83                   0             84
           2             97                  -1             -1

Forwarding table for Node 2:
Interface In       Label In       Interface Out      Label Out
           1              7                  -1             -1
          -1             -1                   5              8
          -1             -1                   1             16
          -1             -1                   5             29
           1             40                  -1             -1
          -1             -1                   1             50
           5             52                   0             53
          -1             -1                   0             63
           5             64                   1             65
           1             77                   5             78
           0             96                   1             97

Forwarding table for Node 3:
Interface In       Label In       Interface Out      Label Out
          -1             -1                   8             12
           4             15                  -1             -1
           0             23                   4             24
           4             28                  -1             -1
           0             54                   4             55
           0             56                   4             57
           0             59                   4             60
          -1             -1                   4             61
          -1             -1                   4             69
           0             70                   8             71
           4             82                  -1             -1
           8             90                   4             91

Forwarding table for Node 4:
Interface In       Label In       Interface Out      Label Out
           6              3                  -1             -1
          -1             -1                   5              4
           6             14                   3             15
           3             24                   6             25
           5             27                   3             28
          -1             -1                   5             43
           6             46                  -1             -1
           3             55                  -1             -1
           3             57                  -1             -1
           3             60                  -1             -1
           3             61                   6             62
           3             69                  -1             -1
           6             81                   3             82
           3             91                   6             92
          -1             -1                   6             94

Forwarding table for Node 5:
Interface In       Label In       Interface Out      Label Out
          12              1                  -1             -1
           4              4                  -1             -1
           2              8                  10              9
          10             20                  -1             -1
          10             26                   4             27
           2             29                  12             30
          12             36                  -1             -1
           4             43                  12             44
          -1             -1                   2             52
          -1             -1                   2             64
           2             78                  12             79

Forwarding table for Node 6:
Interface In       Label In       Interface Out      Label Out
           7              2                   4              3
          -1             -1                   7              5
          -1             -1                   4             14
           4             25                  -1             -1
          -1             -1                   7             32
          -1             -1                   7             38
          -1             -1                   4             46
           7             48                  -1             -1
           4             62                  -1             -1
          -1             -1                   7             66
          -1             -1                   7             73
           7             80                   4             81
           4             92                  -1             -1
           4             94                  -1             -1

Forwarding table for Node 7:
Interface In       Label In       Interface Out      Label Out
          -1             -1                   6              2
           6              5                   1              6
           1             17                   9             18
          -1             -1                   1             21
           6             32                   9             33
           6             38                   1             39
           1             47                   6             48
           6             66                   1             67
           6             73                   9             74
          -1             -1                   6             80
          -1             -1                   1             83

Forwarding table for Node 8:
Interface In       Label In       Interface Out      Label Out
          -1             -1                  11             10
           3             12                  13             13
          -1             -1                  13             37
          13             41                  11             42
           3             71                  13             72
          11             89                   3             90
          11             93                  -1             -1
          11             99                  -1             -1

Forwarding table for Node 9:
Interface In       Label In       Interface Out      Label Out
           7             18                  -1             -1
          -1             -1                  10             19
           7             33                  11             34
          -1             -1                  10             49
           7             74                  11             75
          -1             -1                  10             76
          10             85                  11             86
          13             87                  11             88
          -1             -1                  11             98

Forwarding table for Node 10:
Interface In       Label In       Interface Out      Label Out
           5              9                  -1             -1
           9             19                   5             20
          -1             -1                   5             26
           9             49                  -1             -1
           9             76                  -1             -1
          -1             -1                   9             85

Forwarding table for Node 11:
Interface In       Label In       Interface Out      Label Out
           8             10                  12             11
          12             31                  -1             -1
           9             34                  -1             -1
          -1             -1                  12             35
           8             42                  -1             -1
           9             75                  -1             -1
           9             86                  -1             -1
           9             88                  -1             -1
          -1             -1                   8             89
          -1             -1                   8             93
          12             95                  -1             -1
           9             98                   8             99

Forwarding table for Node 12:
Interface In       Label In       Interface Out      Label Out
          13              0                   5              1
          11             11                  -1             -1
           5             30                  11             31
          11             35                   5             36
           5             44                  13             45
           5             79                  -1             -1
          -1             -1                  11             95

Forwarding table for Node 13:
Interface In       Label In       Interface Out      Label Out
          -1             -1                  12              0
           8             13                  -1             -1
           8             37                  -1             -1
          -1             -1                   8             41
          12             45                  -1             -1
           8             72                  -1             -1
          -1             -1                   9             87

