Admitted Connections:
Connection Id         Source    Destination                        Label List       Path Cost
            0             21              0                           0 1 2 3               4
            1             19              4                         4 5 6 7 8               5
            2              2             11                     9 10 11 12 13               5
            3              2             20              14 15 16 17 18 19 20               7
            4             12              7                             21 22               2
            5             14             16                             23 24               2
            6             14             19                                25               1
            8             14              6                             26 27               2
            9             23              0                       28 29 30 31               4
           10             17             15                                32               1
           11             11             21                          33 34 35               3
           12              9              0                                36               1
           13             22             12                             37 38               2
           14             11             17                                39               1
           15             11             15                             40 41               2
           18             21             17                             42 43               2
           19              5             13                          44 45 46               3
           22             10              8                             47 48               2
           25             15             21                             49 50               2
           26             22              0                       51 52 53 54               4
           27             11              7                             55 56               2
           31              0             10                             57 58               2
           32              7             14                                59               1
           33              5             15                    60 61 62 63 64               5
           34             12             22                             65 66               2
           36             12             15                             67 68               2
           38              9             15                             69 70               2
           45              4              5                                71               1
           46             13             15                          72 73 74               3
           53             23             18                                75               1
           55              9             14                             76 77               2
           56             20             15                             78 79               2
           57              7             22                          80 81 82               3
           59             14             19                                83               1
           66             18              9                          84 85 86               3
           79             20             22                             87 88               2
           80             18             20                                89               1
           85             21             15                             90 91               2
           93             11             14                             92 93               2
           98             21             18                                94               1
