Routing Table for All Nodes
Shotest Path Routing for Node 0:
Destination Node                         Path       Path Cost
               1                          0 1               1
               2                        0 1 2               2
               3                      0 1 2 3               3
               4                    0 1 2 3 4               4
               5                    0 8 7 6 5               4
               6                      0 8 7 6               3
               7                        0 8 7               2
               8                          0 8               1
               9                          0 9               1
              10                       0 9 10               2
              11                       0 8 11               2
              12                       0 8 12               2
              13                     0 8 7 13               3
              14                       0 8 14               2
              15                    0 9 10 15               3
              16                 0 9 10 15 16               4
              17                    0 8 11 17               3
              18                    0 8 14 18               3
              19                    0 8 14 19               3
              20                 0 8 14 18 20               4
              21                 0 8 14 18 21               4
              22                 0 8 11 17 22               4
              23                 0 8 11 17 23               4

Shotest Path Routing for Node 1:
Destination Node                         Path       Path Cost
               0                          1 0               1
               2                          1 2               1
               3                        1 2 3               2
               4                      1 2 3 4               3
               5                    1 2 3 4 5               4
               6                    1 0 8 7 6               4
               7                      1 0 8 7               3
               8                        1 0 8               2
               9                        1 0 9               2
              10                     1 0 9 10               3
              11                     1 0 8 11               3
              12                     1 0 8 12               3
              13                   1 0 8 7 13               4
              14                     1 0 8 14               3
              15                  1 0 9 10 15               4
              16               1 0 9 10 15 16               5
              17                  1 0 8 11 17               4
              18                  1 0 8 14 18               4
              19                  1 0 8 14 19               4
              20               1 0 8 14 18 20               5
              21               1 0 8 14 18 21               5
              22               1 0 8 11 17 22               5
              23               1 0 8 11 17 23               5

Shotest Path Routing for Node 2:
Destination Node                         Path       Path Cost
               0                        2 1 0               2
               1                          2 1               1
               3                          2 3               1
               4                        2 3 4               2
               5                      2 3 4 5               3
               6                      2 8 7 6               3
               7                        2 8 7               2
               8                          2 8               1
               9                        2 8 9               2
              10                     2 8 9 10               3
              11                       2 8 11               2
              12                       2 8 12               2
              13                     2 8 7 13               3
              14                       2 8 14               2
              15                  2 8 9 10 15               4
              16                 2 8 11 17 16               4
              17                    2 8 11 17               3
              18                    2 8 14 18               3
              19                    2 8 14 19               3
              20                 2 8 14 18 20               4
              21                 2 8 14 18 21               4
              22                 2 8 11 17 22               4
              23                 2 8 11 17 23               4

Shotest Path Routing for Node 3:
Destination Node                         Path       Path Cost
               0                      3 2 1 0               3
               1                        3 2 1               2
               2                          3 2               1
               4                          3 4               1
               5                        3 4 5               2
               6                      3 4 5 6               3
               7                      3 2 8 7               3
               8                        3 2 8               2
               9                      3 2 8 9               3
              10                   3 2 8 9 10               4
              11                     3 2 8 11               3
              12                     3 2 8 12               3
              13                   3 2 8 7 13               4
              14                     3 2 8 14               3
